               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090404,            0.030469,            0.040361,             0.71702,             0.27798,             0.30199,             0.10029,            0.049893,            0.017209,            0.023659,             0.07075,             0.00325,             0.00325
                   1,            0.059642,             0.02462,            0.024855,             0.17089,             0.39022,             0.19239,            0.063154,            0.047031,            0.010877,            0.012803,            0.040685,           0.0065182,           0.0065182
                   2,             0.05826,             0.01986,            0.021099,             0.17634,             0.41594,             0.41238,             0.19306,            0.040436,           0.0088261,           0.0098451,            0.010554,           0.0097203,           0.0097203
                   3,            0.050601,            0.016304,            0.018498,             0.16344,             0.37514,             0.33152,             0.10965,            0.035697,           0.0092517,           0.0084989,            0.009703,            0.009703,            0.009703
                   4,            0.044899,             0.01383,            0.015562,             0.29928,             0.69336,             0.53658,             0.26914,            0.033134,           0.0065804,            0.007327,            0.009703,            0.009703,            0.009703
                   5,            0.040162,            0.013197,            0.015475,             0.62594,              0.8031,             0.81668,             0.44651,            0.032108,           0.0058648,           0.0063826,            0.009604,            0.009604,            0.009604
                   6,            0.037197,            0.012083,            0.013598,             0.50076,             0.75802,             0.73206,             0.36471,            0.025058,           0.0061891,           0.0063591,            0.009505,            0.009505,            0.009505
                   7,            0.033786,            0.011147,            0.010649,             0.70424,             0.93121,             0.87399,             0.48238,            0.028504,           0.0054093,           0.0033709,            0.009406,            0.009406,            0.009406
                   8,            0.036214,            0.010897,           0.0087139,             0.94956,             0.95599,              0.9886,             0.63774,            0.021386,           0.0057211,           0.0031271,            0.009307,            0.009307,            0.009307
                   9,             0.03294,           0.0097501,           0.0066616,             0.95778,             0.56614,             0.59853,               0.413,            0.024466,           0.0087064,           0.0049395,            0.009208,            0.009208,            0.009208
                  10,            0.031613,            0.010347,           0.0056829,             0.91743,               0.967,             0.99226,              0.6337,            0.022402,           0.0059874,           0.0019872,            0.009109,            0.009109,            0.009109
                  11,            0.030198,           0.0098069,           0.0056764,             0.89865,             0.98261,             0.98893,             0.66768,            0.021283,           0.0056403,           0.0020325,             0.00901,             0.00901,             0.00901
                  12,            0.029125,           0.0095025,           0.0047544,             0.95711,             0.92887,             0.98331,             0.62811,            0.022195,           0.0051207,           0.0015094,            0.008911,            0.008911,            0.008911
                  13,            0.029289,           0.0097065,           0.0044608,             0.96808,             0.96087,             0.99187,             0.68701,            0.017582,           0.0054751,           0.0016484,            0.008812,            0.008812,            0.008812
                  14,            0.027956,           0.0091817,           0.0033111,             0.73714,             0.82501,             0.84017,             0.45303,            0.020536,           0.0060291,           0.0021522,            0.008713,            0.008713,            0.008713
                  15,            0.027044,           0.0088769,           0.0035824,              0.9779,             0.99831,             0.99487,             0.67289,            0.018563,           0.0051382,           0.0012373,            0.008614,            0.008614,            0.008614
                  16,            0.027259,           0.0085405,           0.0033678,             0.93646,             0.90383,             0.98565,             0.62205,            0.016422,           0.0051845,           0.0011981,            0.008515,            0.008515,            0.008515
                  17,            0.026874,           0.0084703,           0.0030953,             0.94788,                   1,             0.99321,             0.68985,            0.016298,           0.0053183,           0.0012769,            0.008416,            0.008416,            0.008416
                  18,            0.025643,           0.0084198,           0.0034064,             0.92159,             0.93646,             0.98931,             0.67112,             0.01535,           0.0057796,           0.0012006,            0.008317,            0.008317,            0.008317
                  19,            0.025417,            0.008447,           0.0031348,             0.96586,               0.996,             0.99474,             0.65521,            0.018394,           0.0053473,          0.00095794,            0.008218,            0.008218,            0.008218
                  20,            0.024054,           0.0081297,           0.0021626,             0.93644,              0.9131,             0.96678,             0.62391,            0.016926,           0.0054238,           0.0010458,            0.008119,            0.008119,            0.008119
                  21,            0.023174,           0.0083554,           0.0023779,             0.92082,             0.94021,             0.97508,             0.67973,            0.017064,           0.0048943,           0.0010787,             0.00802,             0.00802,             0.00802
                  22,            0.023822,            0.007948,           0.0021282,             0.91378,             0.95705,             0.98722,             0.66945,            0.021558,           0.0051385,           0.0010207,            0.007921,            0.007921,            0.007921
                  23,            0.023078,           0.0077828,           0.0021425,             0.90419,             0.98154,              0.9797,             0.68648,            0.015811,           0.0048172,           0.0011137,            0.007822,            0.007822,            0.007822
                  24,             0.02327,           0.0074205,           0.0020644,             0.96162,             0.99324,             0.99388,             0.69727,             0.01843,            0.004655,          0.00082639,            0.007723,            0.007723,            0.007723
                  25,            0.021586,           0.0076196,            0.002026,             0.98067,             0.99929,              0.9938,             0.71511,             0.01721,           0.0045667,          0.00099319,            0.007624,            0.007624,            0.007624
                  26,            0.022191,           0.0070797,           0.0022953,             0.96404,              0.9649,             0.97333,             0.70034,            0.016804,           0.0051289,          0.00091602,            0.007525,            0.007525,            0.007525
                  27,            0.022119,           0.0076014,            0.002302,             0.97932,             0.99234,             0.99423,             0.73962,            0.018703,           0.0053814,          0.00088506,            0.007426,            0.007426,            0.007426
                  28,            0.020652,           0.0076733,           0.0017311,              0.9673,                   1,               0.994,             0.77819,            0.015951,           0.0049645,          0.00082823,            0.007327,            0.007327,            0.007327
                  29,              0.0211,           0.0075026,           0.0015981,             0.96322,              0.9971,             0.99474,             0.75918,            0.017082,           0.0047835,          0.00082736,            0.007228,            0.007228,            0.007228
                  30,            0.019904,           0.0071061,           0.0014439,              0.9508,                   1,             0.99383,             0.77234,            0.015917,           0.0047188,           0.0007087,            0.007129,            0.007129,            0.007129
                  31,            0.019632,           0.0065534,           0.0019877,             0.97304,              0.9955,             0.99397,             0.76806,             0.01609,           0.0049074,          0.00067202,             0.00703,             0.00703,             0.00703
                  32,             0.02078,           0.0070731,           0.0014787,             0.97592,             0.99077,             0.99333,             0.71514,            0.014589,           0.0049486,           0.0007856,            0.006931,            0.006931,            0.006931
                  33,            0.019418,           0.0068703,           0.0015257,             0.97022,             0.99324,             0.99391,             0.74216,            0.015691,           0.0045103,          0.00083987,            0.006832,            0.006832,            0.006832
                  34,            0.019025,           0.0067685,           0.0015616,             0.97499,             0.99763,             0.99487,              0.7736,            0.015013,           0.0042218,          0.00080069,            0.006733,            0.006733,            0.006733
                  35,            0.017684,            0.006688,           0.0014875,             0.97151,                   1,             0.99474,             0.78258,            0.015443,            0.004757,          0.00079948,            0.006634,            0.006634,            0.006634
                  36,            0.019154,           0.0063474,           0.0014329,             0.97724,             0.99484,             0.99487,             0.77499,            0.012947,           0.0042849,          0.00080942,            0.006535,            0.006535,            0.006535
                  37,             0.01935,           0.0067744,            0.001318,             0.95545,             0.99695,             0.99182,             0.76946,            0.014439,           0.0043128,          0.00078139,            0.006436,            0.006436,            0.006436
                  38,             0.01769,           0.0068304,           0.0012949,             0.95673,                   1,             0.99487,             0.80201,             0.01427,           0.0047969,          0.00071613,            0.006337,            0.006337,            0.006337
                  39,            0.018326,           0.0066768,            0.001361,             0.95623,                   1,             0.99474,             0.80293,            0.014186,           0.0044795,          0.00072428,            0.006238,            0.006238,            0.006238
                  40,            0.017466,           0.0062101,           0.0011356,             0.95645,              0.9951,             0.99474,             0.78238,            0.013912,           0.0043892,          0.00064519,            0.006139,            0.006139,            0.006139
                  41,            0.016949,           0.0061643,           0.0014015,             0.98956,             0.97271,             0.99474,             0.79482,            0.013919,           0.0044563,          0.00066125,             0.00604,             0.00604,             0.00604
                  42,            0.016318,           0.0060959,           0.0012429,             0.98286,             0.99685,             0.99474,             0.77479,             0.01389,           0.0044913,          0.00067944,            0.005941,            0.005941,            0.005941
                  43,            0.016994,           0.0061782,             0.00127,             0.99063,             0.98323,             0.99436,             0.81965,            0.013343,           0.0039735,          0.00062783,            0.005842,            0.005842,            0.005842
                  44,            0.016603,           0.0060493,           0.0011071,             0.98358,             0.99695,             0.99487,             0.79413,            0.012629,           0.0038364,          0.00062931,            0.005743,            0.005743,            0.005743
                  45,            0.016171,           0.0060184,           0.0013614,             0.98208,             0.99243,             0.99462,             0.78511,            0.013994,           0.0044212,          0.00063449,            0.005644,            0.005644,            0.005644
                  46,            0.015802,           0.0066271,            0.001804,             0.96919,             0.99679,             0.99474,             0.85206,             0.01221,           0.0042895,          0.00059084,            0.005545,            0.005545,            0.005545
                  47,            0.016035,           0.0059675,           0.0019337,             0.98102,             0.99212,             0.99474,             0.84778,            0.012609,           0.0040826,          0.00054254,            0.005446,            0.005446,            0.005446
                  48,            0.015376,           0.0059527,           0.0010645,             0.97621,             0.99816,             0.99487,              0.8355,            0.011906,           0.0039453,          0.00051011,            0.005347,            0.005347,            0.005347
                  49,            0.015925,           0.0058816,           0.0010667,             0.97657,              0.9973,             0.99474,             0.86087,            0.013063,           0.0039982,          0.00053297,            0.005248,            0.005248,            0.005248
                  50,            0.015397,           0.0057461,          0.00093659,             0.97864,             0.99695,             0.99487,             0.81552,            0.012639,           0.0038552,          0.00046257,            0.005149,            0.005149,            0.005149
                  51,            0.015835,            0.005593,           0.0011962,              0.9796,             0.99536,             0.99434,             0.81454,            0.013617,           0.0044378,          0.00053741,             0.00505,             0.00505,             0.00505
                  52,            0.015447,           0.0058152,           0.0010496,             0.97774,             0.99635,              0.9942,             0.82934,            0.011179,           0.0043189,          0.00054008,            0.004951,            0.004951,            0.004951
                  53,            0.015853,           0.0056262,            0.001038,             0.98518,             0.99156,             0.99454,             0.81874,            0.013402,           0.0043414,          0.00054149,            0.004852,            0.004852,            0.004852
                  54,            0.015139,           0.0056926,           0.0009375,             0.98176,             0.99915,             0.99447,               0.826,            0.012566,           0.0044619,          0.00050051,            0.004753,            0.004753,            0.004753
                  55,            0.014214,           0.0051285,           0.0011076,             0.98157,             0.99507,             0.99487,             0.83307,            0.012838,           0.0042111,          0.00051758,            0.004654,            0.004654,            0.004654
                  56,            0.013468,           0.0055471,          0.00095531,             0.98416,             0.99792,             0.99487,             0.81613,            0.015009,           0.0041052,          0.00053918,            0.004555,            0.004555,            0.004555
                  57,            0.013963,            0.005332,           0.0010187,             0.98404,             0.98857,              0.9936,              0.7895,             0.01321,           0.0046045,          0.00052383,            0.004456,            0.004456,            0.004456
                  58,            0.013661,           0.0054326,          0.00083773,             0.97812,                   1,             0.99401,             0.82022,             0.01353,           0.0045931,          0.00047333,            0.004357,            0.004357,            0.004357
                  59,            0.014607,           0.0053366,          0.00085263,             0.97875,             0.99752,             0.99401,             0.81288,            0.013109,           0.0041145,          0.00040848,            0.004258,            0.004258,            0.004258
                  60,            0.012726,           0.0050214,          0.00082933,             0.97618,             0.99883,              0.9935,             0.82462,            0.013025,           0.0044762,          0.00041665,            0.004159,            0.004159,            0.004159
                  61,            0.013942,           0.0051315,          0.00095529,             0.98432,             0.99535,             0.99467,             0.80731,            0.013018,           0.0044647,          0.00044324,             0.00406,             0.00406,             0.00406
                  62,            0.011823,           0.0050429,          0.00074949,             0.97221,                   1,             0.99313,             0.83248,            0.012827,           0.0043869,          0.00048942,            0.003961,            0.003961,            0.003961
                  63,            0.014316,           0.0050321,          0.00082315,             0.98034,             0.99324,             0.99454,             0.84981,            0.011356,           0.0041671,          0.00046369,            0.003862,            0.003862,            0.003862
                  64,             0.01279,           0.0051936,          0.00090754,             0.98797,             0.99676,             0.99487,             0.86348,            0.012276,           0.0040287,          0.00047008,            0.003763,            0.003763,            0.003763
                  65,            0.012383,           0.0050448,          0.00097276,             0.97242,             0.99789,             0.99467,              0.8062,             0.01228,           0.0040125,           0.0004188,            0.003664,            0.003664,            0.003664
                  66,            0.012067,           0.0051507,          0.00067298,              0.9799,             0.99893,             0.99447,             0.80359,            0.012161,           0.0041004,          0.00039069,            0.003565,            0.003565,            0.003565
                  67,            0.012713,           0.0050168,           0.0006739,             0.97934,             0.99324,             0.99474,             0.81611,            0.012309,            0.004214,           0.0003886,            0.003466,            0.003466,            0.003466
                  68,            0.012195,           0.0048637,          0.00068938,             0.97727,             0.99364,             0.99454,             0.82511,            0.013301,           0.0043726,           0.0004096,            0.003367,            0.003367,            0.003367
                  69,            0.012226,           0.0049739,          0.00077318,             0.98599,             0.99091,              0.9941,             0.81882,            0.012903,           0.0043031,          0.00040807,            0.003268,            0.003268,            0.003268
                  70,            0.010135,           0.0045185,          0.00079574,              0.9895,             0.99234,             0.99462,             0.80956,            0.013556,           0.0046303,          0.00038724,            0.003169,            0.003169,            0.003169
                  71,            0.010377,            0.004842,          0.00089855,             0.98407,             0.98648,             0.99454,             0.80173,            0.012688,           0.0041026,          0.00034388,             0.00307,             0.00307,             0.00307
                  72,            0.011466,            0.004609,          0.00060882,             0.98315,             0.99009,             0.99304,             0.79775,            0.012305,           0.0043691,          0.00033728,            0.002971,            0.002971,            0.002971
                  73,            0.010033,           0.0048779,          0.00060192,             0.97715,             0.98483,              0.9935,             0.84636,             0.01231,           0.0041277,          0.00032542,            0.002872,            0.002872,            0.002872
                  74,            0.010589,           0.0048893,          0.00054884,             0.97864,             0.98445,             0.99408,             0.83742,            0.012522,             0.00418,          0.00033283,            0.002773,            0.002773,            0.002773
                  75,            0.010008,           0.0047825,          0.00052411,             0.97733,             0.99011,             0.99454,             0.84243,            0.012031,           0.0043923,          0.00031689,            0.002674,            0.002674,            0.002674
                  76,            0.010603,           0.0044691,          0.00078369,             0.97835,             0.99562,             0.99434,             0.84342,            0.012438,           0.0040465,          0.00029537,            0.002575,            0.002575,            0.002575
                  77,            0.010801,           0.0044834,          0.00049422,             0.97857,              0.9939,             0.99401,             0.83758,             0.01212,           0.0040474,          0.00030161,            0.002476,            0.002476,            0.002476
                  78,           0.0097923,           0.0047195,          0.00056902,             0.96791,             0.99683,             0.99362,             0.84614,            0.011873,           0.0040305,           0.0002995,            0.002377,            0.002377,            0.002377
                  79,           0.0099988,            0.004535,          0.00048439,             0.96264,             0.99732,             0.99454,             0.82956,            0.010871,           0.0042728,          0.00030913,            0.002278,            0.002278,            0.002278
                  80,           0.0097216,            0.004539,          0.00049938,              0.9646,                   1,             0.99454,             0.80569,            0.011607,           0.0046071,          0.00030684,            0.002179,            0.002179,            0.002179
                  81,           0.0094127,           0.0044411,          0.00044608,             0.96164,                   1,               0.994,             0.81872,            0.011635,           0.0043022,          0.00030145,             0.00208,             0.00208,             0.00208
                  82,           0.0096687,           0.0039954,           0.0005662,             0.97073,              0.9974,             0.99434,              0.8323,             0.01177,           0.0039381,           0.0002782,            0.001981,            0.001981,            0.001981
                  83,           0.0099828,           0.0043292,          0.00046681,             0.97566,              0.9997,              0.9942,             0.83011,             0.01126,           0.0039179,          0.00025232,            0.001882,            0.001882,            0.001882
                  84,           0.0090549,           0.0041542,          0.00053289,             0.98181,             0.99786,             0.99447,              0.8314,            0.011317,           0.0041544,          0.00023316,            0.001783,            0.001783,            0.001783
                  85,           0.0094026,           0.0040008,          0.00041977,             0.97301,                   1,              0.9938,             0.82175,            0.011729,           0.0042913,          0.00022343,            0.001684,            0.001684,            0.001684
                  86,           0.0084464,           0.0039421,          0.00040427,             0.96808,             0.99782,              0.9938,             0.84356,            0.011116,           0.0038831,          0.00021755,            0.001585,            0.001585,            0.001585
                  87,           0.0087812,           0.0038835,          0.00041757,             0.96503,             0.99838,             0.99362,             0.84178,            0.011119,           0.0042213,          0.00021253,            0.001486,            0.001486,            0.001486
                  88,           0.0087957,           0.0039561,          0.00038756,             0.97183,             0.99717,              0.9938,             0.85271,            0.011007,           0.0038843,          0.00020117,            0.001387,            0.001387,            0.001387
                  89,            0.008419,           0.0039522,           0.0003082,             0.98167,             0.99736,             0.99434,             0.84592,            0.011336,           0.0039352,            0.000193,            0.001288,            0.001288,            0.001288
                  90,           0.0086876,           0.0038293,          0.00035705,             0.97882,             0.99105,             0.99454,             0.84338,            0.011072,           0.0040765,          0.00018536,            0.001189,            0.001189,            0.001189
                  91,           0.0079106,           0.0039053,          0.00040421,             0.97675,             0.99731,             0.99447,              0.8482,             0.01126,           0.0041495,          0.00017379,             0.00109,             0.00109,             0.00109
                  92,           0.0074346,           0.0036556,          0.00032956,             0.97372,             0.99886,             0.99414,             0.84259,            0.012016,            0.004411,          0.00017225,            0.000991,            0.000991,            0.000991
                  93,           0.0088024,            0.003876,          0.00033019,             0.96862,             0.99452,             0.99382,             0.83942,            0.011482,           0.0043371,          0.00016368,            0.000892,            0.000892,            0.000892
                  94,           0.0074392,           0.0037848,          0.00027359,             0.96774,             0.99587,             0.99382,              0.8437,            0.011116,            0.004262,          0.00015549,            0.000793,            0.000793,            0.000793
                  95,           0.0066794,            0.003565,          0.00021093,             0.97213,             0.99556,             0.99362,             0.84357,            0.011455,           0.0044027,          0.00015534,            0.000694,            0.000694,            0.000694
                  96,           0.0079588,           0.0037481,          0.00037076,              0.9794,             0.99715,             0.99362,             0.85359,            0.011475,           0.0044778,           0.0001466,            0.000595,            0.000595,            0.000595
                  97,           0.0075757,           0.0033635,          0.00031388,             0.97268,             0.99625,             0.99362,             0.84948,            0.011437,           0.0041888,           0.0001386,            0.000496,            0.000496,            0.000496
                  98,           0.0067467,           0.0036475,          0.00027072,              0.9778,             0.99634,             0.99434,             0.85467,             0.01147,           0.0041577,          0.00013146,            0.000397,            0.000397,            0.000397
                  99,           0.0076225,            0.003885,          0.00033892,             0.97994,             0.99817,             0.99434,             0.84919,            0.011519,            0.004242,          0.00012894,            0.000298,            0.000298,            0.000298
